Tempo (s),Posizione Desiderata,Posizione Attuale,Velocità Attuale
0.026828765869140625,2503,2036,0.0
0.03883004188537598,2503,2036,0.0
0.05077719688415527,2503,2036,0.0
0.06276154518127441,2503,2036,0.0
0.07484102249145508,2503,2036,0.0
0.0950617790222168,2503,2036,0.0
0.10680079460144043,2503,2036,0.0
0.11878561973571777,2503,2036,0.0
0.13080906867980957,2503,2036,0.0
0.14275217056274414,2503,2036,0.0
0.15474319458007812,2503,2036,0.0
0.166762113571167,2503,2036,0.0
0.17874956130981445,2503,2036,0.0
0.19078397750854492,2503,2036,0.0
0.20278477668762207,2503,2036,0.0
0.21476173400878906,2503,2036,0.0
0.22675585746765137,2503,2037,0.0
0.23880934715270996,2503,2037,0.229
0.2507634162902832,2503,2037,0.229
0.2657661437988281,2503,2037,0.229
0.2797887325286865,2503,2038,0.229
0.29479050636291504,2503,2039,0.458
0.306840181350708,2503,2040,0.687
0.3217661380767822,2503,2041,0.916
0.33375024795532227,2503,2042,0.916
0.34780168533325195,2503,2044,1.145
0.35979342460632324,2503,2044,1.145
0.3757810592651367,2503,2046,1.374
0.3907613754272461,2503,2047,1.374
0.40277576446533203,2503,2049,1.374
0.41475701332092285,2503,2050,1.374
0.4267563819885254,2503,2051,1.374
0.4427618980407715,2503,2053,1.374
0.4547615051269531,2503,2054,1.374
0.4740869998931885,2503,2055,1.145
0.49076175689697266,2503,2057,1.145
0.5027790069580078,2503,2058,0.916
0.5157647132873535,2503,2059,1.145
0.5297501087188721,2503,2060,1.145
0.5417666435241699,2503,2062,1.145
0.5537674427032471,2503,2063,1.145
0.5678920745849609,2503,2065,1.374
0.5807373523712158,2503,2067,1.603
0.6007535457611084,2503,2070,1.832
0.6155354976654053,2503,2071,1.832
0.6277735233306885,2503,2074,2.061
0.6497578620910645,2503,2077,2.061
0.6617622375488281,2503,2079,2.061
0.6737320423126221,2503,2081,1.832
0.6897268295288086,2503,2082,1.832
0.7027575969696045,2503,2084,1.832
0.7147610187530518,2503,2085,1.832
0.7411980628967285,2503,2088,1.603
0.7587404251098633,2503,2092,1.603
0.7715275287628174,2503,2093,1.603
0.784843921661377,2503,2094,1.374
0.811748743057251,2503,2096,1.603
0.8297348022460938,2503,2100,1.603
0.8427588939666748,2503,2102,1.832
0.8570258617401123,2503,2103,1.832
0.8743178844451904,2503,2105,1.832
0.8857288360595703,2503,2108,1.832
0.8978416919708252,2503,2109,1.603
0.9115538597106934,2503,2110,1.603
0.9350275993347168,2503,2112,1.603
0.946774959564209,2503,2115,1.603
0.9607107639312744,2503,2117,1.603
0.9727230072021484,2503,2119,1.603
0.9847221374511719,2503,2120,1.603
0.9967210292816162,2503,2122,1.832
1.0087697505950928,2503,2123,1.603
1.0207343101501465,2503,2124,1.603
1.039731740951538,2503,2126,1.832
1.0517504215240479,2503,2129,1.832
1.0654926300048828,2503,2130,1.603
1.0837194919586182,2503,2131,1.603
1.0957767963409424,2503,2134,1.832
1.1077358722686768,2503,2136,1.832
1.133225917816162,2503,2137,1.603
1.1457183361053467,2503,2141,1.603
1.1577277183532715,2503,2143,1.832
1.1777875423431396,2503,2144,1.832
1.199770450592041,2503,2148,1.832
1.2117488384246826,2503,2150,1.832
1.2267134189605713,2503,2151,1.603
1.2442131042480469,2503,2153,1.603
1.255800485610962,2503,2155,1.832
1.2708616256713867,2503,2157,1.832
1.289006233215332,2503,2159,1.832
1.3007769584655762,2503,2161,1.603
1.3127202987670898,2503,2162,1.603
1.3266596794128418,2503,2164,1.832
1.338700771331787,2503,2166,1.603
1.3517100811004639,2503,2168,1.603
1.363729476928711,2503,2170,1.832
1.377702236175537,2503,2171,1.832
1.4036903381347656,2503,2173,1.603
1.4157404899597168,2503,2176,1.603
1.4297397136688232,2503,2177,1.603
1.4516932964324951,2503,2179,1.603
1.4637556076049805,2503,2182,1.603
1.4787261486053467,2503,2183,1.603
1.4908621311187744,2503,2185,1.603
1.5047457218170166,2503,2187,1.832
1.5167224407196045,2503,2188,1.832
1.5317001342773438,2503,2190,1.832
1.5506889820098877,2503,2193,1.832
1.5627243518829346,2503,2196,1.832
1.5757241249084473,2503,2197,1.832
1.5916965007781982,2503,2199,1.832
1.6116831302642822,2503,2201,1.832
1.6236660480499268,2503,2203,1.603
1.636720895767212,2503,2205,1.603
1.6556997299194336,2503,2206,1.603
1.6686699390411377,2503,2209,1.603
1.6807584762573242,2503,2210,1.603
1.7020423412322998,2503,2212,1.832
1.726708173751831,2503,2217,1.832
1.74070143699646,2503,2220,1.832
1.7577028274536133,2503,2222,1.832
1.7697043418884277,2503,2224,1.832
1.7904317378997803,2503,2225,1.603
1.8027079105377197,2503,2227,1.603
1.8156888484954834,2503,2228,1.603
1.8278076648712158,2503,2230,1.603
1.8406825065612793,2503,2231,1.603
1.8527169227600098,2503,2232,1.374
1.8647069931030273,2503,2234,1.374
1.877458095550537,2503,2236,1.603
1.8897085189819336,2503,2238,1.603
1.9036908149719238,2503,2239,1.603
1.9156885147094727,2503,2241,1.603
1.9286887645721436,2503,2242,1.603
1.9408643245697021,2503,2245,1.832
1.9527065753936768,2503,2246,1.603
1.9647018909454346,2503,2247,1.603
1.9782452583312988,2503,2250,1.603
1.9946730136871338,2503,2251,1.832
2.0067152976989746,2503,2253,1.832
2.0186917781829834,2503,2254,1.832
2.032689094543457,2503,2256,1.832
2.0507030487060547,2503,2259,1.832
2.0627198219299316,2503,2260,1.832
2.074690103530884,2503,2261,1.832
2.0996992588043213,2503,2263,1.603
2.111698865890503,2503,2265,1.603
2.1236891746520996,2503,2267,1.603
2.1406569480895996,2503,2268,1.603
2.1577086448669434,2503,2272,1.603
2.169672727584839,2503,2274,1.603
2.192188024520874,2503,2276,1.832
2.2037129402160645,2503,2278,1.832
2.216639757156372,2503,2281,2.061
2.231659173965454,2503,2283,2.061
2.2439029216766357,2503,2285,2.061
2.255697250366211,2503,2287,2.061
2.2686126232147217,2503,2289,2.061
2.2884738445281982,2503,2290,1.832
2.3017663955688477,2503,2292,1.603
2.313831329345703,2503,2293,1.374
2.328277349472046,2503,2294,1.374
2.3396716117858887,2503,2297,1.374
2.3567066192626953,2503,2298,1.374
2.3688316345214844,2503,2300,1.374
2.38067626953125,2503,2301,1.603
2.4026942253112793,2503,2303,1.603
2.414712429046631,2503,2306,1.603
2.4266717433929443,2503,2307,1.832
2.4448606967926025,2503,2309,1.832
2.4586381912231445,2503,2312,1.832
2.470679521560669,2503,2313,1.832
2.4826579093933105,2503,2315,1.832
2.503673791885376,2503,2317,1.832
2.515712261199951,2503,2319,1.603
2.5286591053009033,2503,2321,1.603
2.5406558513641357,2503,2323,1.603
2.552690267562866,2503,2325,1.832
2.564687728881836,2503,2327,1.832
2.580692768096924,2503,2328,1.832
2.598783254623413,2503,2330,1.832
2.610649824142456,2503,2333,1.832
2.624285936355591,2503,2334,1.832
2.636436939239502,2503,2336,1.603
2.653717517852783,2503,2338,1.603
2.665654420852661,2503,2339,1.603
2.680657386779785,2503,2341,1.603
2.6926419734954834,2503,2343,1.603
2.704681873321533,2503,2345,1.832
2.7167060375213623,2503,2346,1.832
2.7316555976867676,2503,2349,1.832
2.7488772869110107,2503,2351,1.832
2.761646032333374,2503,2353,1.832
2.773632287979126,2503,2355,1.832
2.7856316566467285,2503,2356,1.832
2.7992846965789795,2503,2357,1.603
2.8106400966644287,2503,2358,1.374
2.8226335048675537,2503,2359,1.145
2.8346362113952637,2503,2360,1.145
2.8466269969940186,2503,2361,1.145
2.8586554527282715,2503,2362,1.374
2.8706612586975098,2503,2364,1.374
2.8856282234191895,2503,2365,1.374
2.901646614074707,2503,2367,1.603
2.913670778274536,2503,2370,1.832
2.9316353797912598,2503,2371,1.832
2.9526138305664062,2503,2376,2.061
2.964664936065674,2503,2378,2.29
2.9797611236572266,2503,2380,2.061
3.001629590988159,2503,2382,1.832
3.0136847496032715,2503,2385,1.832
3.027076244354248,2503,2386,1.832
3.0396499633789062,2503,2388,1.603
3.0556111335754395,2503,2389,1.374
3.0677127838134766,2503,2391,1.603
3.079637050628662,2503,2392,1.603
3.0926289558410645,2503,2393,1.603
3.107682466506958,2503,2396,1.603
3.119730234146118,2503,2397,1.832
3.1346352100372314,2503,2399,1.832
3.1556315422058105,2503,2403,1.832
3.167695999145508,2503,2406,2.061
3.1826374530792236,2503,2407,2.061
3.194622039794922,2503,2409,2.061
3.211597204208374,2503,2412,1.832
3.223630666732788,2503,2413,2.061
3.2356231212615967,2503,2415,1.832
3.2476093769073486,2503,2416,1.832
3.2596170902252197,2503,2418,1.603
3.271664619445801,2503,2419,1.603
3.2847511768341064,2503,2420,1.603
3.3002991676330566,2503,2422,1.374
3.312626600265503,2503,2422,1.374
3.324632167816162,2503,2424,1.145
3.3386285305023193,2503,2425,1.374
3.3556034564971924,2503,2428,1.603
3.367630958557129,2503,2430,1.603
3.381621837615967,2503,2431,1.603
3.400602340698242,2503,2434,1.832
3.4136242866516113,2503,2436,1.832
3.425657033920288,2503,2438,1.832
3.439619779586792,2503,2440,2.061
3.451610803604126,2503,2443,2.29
3.463693141937256,2503,2444,2.061
3.475646495819092,2503,2446,2.061
3.488621473312378,2503,2447,1.832
3.5024404525756836,2503,2449,1.832
3.5146467685699463,2503,2451,1.832
3.5266730785369873,2503,2453,1.603
3.538614511489868,2503,2453,1.374
3.550607204437256,2503,2455,1.374
3.5626039505004883,2503,2456,1.145
3.574636697769165,2503,2457,1.374
3.5866246223449707,2503,2459,1.374
3.5986180305480957,2503,2460,1.603
3.6106131076812744,2503,2462,1.603
3.622664213180542,2503,2464,1.832
3.63460636138916,2503,2466,2.061
3.646615743637085,2503,2467,2.061
3.6586270332336426,2503,2470,2.061
3.6763627529144287,2503,2472,2.061
3.696636438369751,2503,2475,2.061
3.7085988521575928,2503,2476,1.832
3.7206199169158936,2503,2478,1.603
3.7325944900512695,2503,2478,1.374
3.744579553604126,2503,2480,1.145
3.7566065788269043,2503,2481,0.916
3.7685959339141846,2503,2481,0.916
3.780588150024414,2503,2482,0.687
3.792588472366333,2503,2482,0.687
3.805577039718628,2503,2483,0.687
3.8175973892211914,2503,2484,0.916
3.8295958042144775,2503,2485,1.145
3.8416051864624023,2503,2486,1.145
3.853619337081909,2503,2488,1.145
3.865649938583374,2503,2489,1.145
3.8776190280914307,2503,2490,1.145
3.8896026611328125,2503,2490,0.916
3.904592752456665,2503,2491,0.916
3.9196066856384277,2503,2492,0.916
3.931593179702759,2503,2493,0.916
3.943584442138672,2503,2494,0.916
3.9555819034576416,2503,2495,0.916
3.968620538711548,2503,2496,0.916
3.9859299659729004,2503,2496,0.687
3.9976563453674316,2503,2497,0.458
4.01656436920166,2503,2497,0.458
4.030939340591431,2503,2497,0.229
4.046027183532715,2503,2497,0.0
4.06057596206665,2503,2498,0.229
4.072571516036987,2503,2498,0.229
4.085585355758667,2503,2499,0.229
4.085585355758667,2048,2507,0.0
7.103636741638184,2048,2507,0.0
7.115591287612915,2048,2507,0.0
7.127511739730835,2048,2507,0.0
7.140517473220825,2048,2507,0.0
7.161498785018921,2048,2507,0.0
7.1734840869903564,2048,2507,0.0
7.187527179718018,2048,2507,0.0
7.202491760253906,2048,2507,0.0
7.215507984161377,2048,2507,0.0
7.2274744510650635,2048,2507,0.0
7.242469787597656,2048,2507,0.0
7.260489225387573,2048,2507,0.0
7.272527456283569,2048,2507,0.0
7.285860061645508,2048,2507,0.0
7.302552938461304,2048,2507,0.0
7.314486265182495,2048,2508,0.0
7.326498508453369,2048,2507,0.0
7.3392579555511475,2048,2508,0.0
7.355470180511475,2048,2507,0.0
7.370489597320557,2048,2507,0.0
7.382496356964111,2048,2507,0.0
7.404495000839233,2048,2506,0.0
7.418474912643433,2048,2506,-0.229
7.4311981201171875,2048,2504,-0.458
7.446812152862549,2048,2503,-0.687
7.465487718582153,2048,2502,-0.687
7.477460145950317,2048,2501,-0.916
7.489798307418823,2048,2499,-1.374
7.506357908248901,2048,2497,-1.603
7.518555402755737,2048,2495,-1.603
7.53048849105835,2048,2493,-1.832
7.543667554855347,2048,2492,-1.832
7.560043573379517,2048,2489,-1.832
7.571536540985107,2048,2488,-1.832
7.583483934402466,2048,2486,-1.832
7.595461130142212,2048,2484,-1.832
7.60773491859436,2048,2482,-1.832
7.625713348388672,2048,2480,-1.832
7.637578964233398,2048,2478,-1.832
7.650855302810669,2048,2477,-1.832
7.662735462188721,2048,2475,-1.832
7.674448490142822,2048,2473,-1.832
7.686476469039917,2048,2472,-1.832
7.698429107666016,2048,2470,-1.832
7.714476823806763,2048,2467,-2.061
7.730513572692871,2048,2465,-2.061
7.74246621131897,2048,2464,-2.061
7.7554991245269775,2048,2461,-2.29
7.77360725402832,2048,2459,-2.061
7.785492897033691,2048,2457,-2.061
7.797602653503418,2048,2455,-1.832
7.809494256973267,2048,2454,-1.832
7.821739435195923,2048,2453,-1.603
7.8374574184417725,2048,2450,-1.603
7.849522352218628,2048,2449,-1.603
7.864710330963135,2048,2445,-1.832
7.8814802169799805,2048,2444,-1.832
7.893457412719727,2048,2441,-2.061
7.906465530395508,2048,2440,-2.061
7.926077127456665,2048,2437,-2.061
7.939440011978149,2048,2436,-1.832
7.9545581340789795,2048,2434,-1.603
7.979476451873779,2048,2431,-1.603
7.991484880447388,2048,2430,-1.603
8.007185220718384,2048,2428,-1.374
8.029746055603027,2048,2424,-1.832
8.04146933555603,2048,2422,-2.061
8.054967880249023,2048,2420,-2.061
8.068053483963013,2048,2417,-2.29
8.082500219345093,2048,2415,-2.29
8.094473600387573,2048,2414,-2.061
8.108672380447388,2048,2411,-1.832
8.121452808380127,2048,2410,-1.832
8.135555028915405,2048,2409,-1.603
8.147475481033325,2048,2408,-1.374
8.162475109100342,2048,2406,-1.603
8.182417869567871,2048,2404,-1.603
8.194462060928345,2048,2402,-1.832
8.206455945968628,2048,2398,-1.832
8.220430850982666,2048,2397,-2.061
8.233440160751343,2048,2395,-2.061
8.245457410812378,2048,2393,-2.061
8.259660482406616,2048,2391,-1.832
8.27401852607727,2048,2389,-1.832
8.286464929580688,2048,2388,-1.832
8.29842495918274,2048,2386,-1.832
8.311743259429932,2048,2385,-1.603
8.324944734573364,2048,2383,-1.603
8.34044075012207,2048,2381,-1.832
8.352472305297852,2048,2380,-1.832
8.36547040939331,2048,2378,-1.832
8.387546062469482,2048,2375,-1.832
8.399442434310913,2048,2372,-1.832
8.414575338363647,2048,2371,-1.832
8.430954933166504,2048,2368,-1.832
8.44549036026001,2048,2366,-1.832
8.457453489303589,2048,2365,-1.832
8.472427129745483,2048,2363,-1.832
8.48841118812561,2048,2361,-1.603
8.502459049224854,2048,2359,-1.603
8.51749324798584,2048,2358,-1.603
8.529715061187744,2048,2356,-1.603
8.543885946273804,2048,2354,-1.603
8.555450201034546,2048,2352,-1.832
8.568399667739868,2048,2351,-1.832
8.584112644195557,2048,2347,-1.832
8.601386308670044,2048,2345,-1.832
8.613405466079712,2048,2343,-2.061
8.625425100326538,2048,2341,-2.061
8.650404453277588,2048,2338,-1.832
8.662442445755005,2048,2337,-1.832
8.677445888519287,2048,2335,-1.603
8.689420461654663,2048,2334,-1.603
8.701403379440308,2048,2333,-1.374
8.7134370803833,2048,2331,-1.374
8.725424766540527,2048,2329,-1.603
8.737439632415771,2048,2328,-1.832
8.749459981918335,2048,2326,-1.832
8.761438846588135,2048,2325,-1.832
8.773427486419678,2048,2323,-2.061
8.785824537277222,2048,2320,-2.061
8.797722578048706,2048,2318,-2.061
8.809736967086792,2048,2317,-1.832
8.821758031845093,2048,2316,-1.832
8.833391189575195,2048,2314,-1.603
8.845480918884277,2048,2313,-1.603
8.857412099838257,2048,2312,-1.374
8.873674154281616,2048,2309,-1.374
8.889442920684814,2048,2308,-1.603
8.901491641998291,2048,2306,-1.832
8.918283462524414,2048,2303,-1.832
8.932425498962402,2048,2302,-1.832
8.944369554519653,2048,2300,-1.832
8.957326412200928,2048,2298,-1.832
8.980720043182373,2048,2294,-1.832
8.992454767227173,2048,2293,-1.603
9.00446343421936,2048,2291,-1.603
9.016438007354736,2048,2290,-1.603
9.032430648803711,2048,2289,-1.374
9.047411918640137,2048,2287,-1.374
9.059426546096802,2048,2286,-1.374
9.071410894393921,2048,2284,-1.603
9.090374231338501,2048,2282,-1.832
9.102429389953613,2048,2280,-1.832
9.115447998046875,2048,2278,-2.061
9.136419773101807,2048,2274,-2.061
9.14835810661316,2048,2273,-2.061
9.162700891494751,2048,2271,-2.061
9.178380489349365,2048,2268,-1.832
9.194410562515259,2048,2267,-1.603
9.206379413604736,2048,2266,-1.374
9.218379735946655,2048,2264,-1.374
9.230368852615356,2048,2263,-1.603
9.242472887039185,2048,2261,-1.603
9.254868507385254,2048,2259,-1.603
9.268389463424683,2048,2257,-1.832
9.285437107086182,2048,2255,-2.061
9.297402620315552,2048,2253,-2.061
9.315410375595093,2048,2251,-1.832
9.331904888153076,2048,2249,-1.832
9.344398021697998,2048,2247,-1.832
9.358531951904297,2048,2246,-1.603
9.37139368057251,2048,2243,-1.374
9.388417959213257,2048,2241,-1.374
9.400483131408691,2048,2240,-1.374
9.413389682769775,2048,2238,-1.374
9.430451154708862,2048,2236,-1.603
9.445408344268799,2048,2235,-1.603
9.457377433776855,2048,2233,-1.832
9.469370126724243,2048,2231,-1.832
9.484392166137695,2048,2229,-1.832
9.496373653411865,2048,2227,-2.061
9.508361577987671,2048,2226,-2.061
9.521372079849243,2048,2223,-1.832
9.541360139846802,2048,2222,-1.603
9.560425281524658,2048,2219,-1.603
9.572547197341919,2048,2216,-1.374
9.592345476150513,2048,2216,-1.374
9.608165502548218,2048,2213,-1.603
9.631368398666382,2048,2210,-1.832
9.643399477005005,2048,2208,-1.832
9.658589839935303,2048,2206,-1.832
9.670387983322144,2048,2204,-2.061
9.682892084121704,2048,2203,-2.061
9.694386005401611,2048,2201,-1.832
9.706420421600342,2048,2199,-1.832
9.718367099761963,2048,2198,-1.832
9.735373735427856,2048,2197,-1.603
9.74839448928833,2048,2195,-1.603
9.76048731803894,2048,2193,-1.603
9.773379802703857,2048,2191,-1.603
9.793375730514526,2048,2188,-1.603
9.805347919464111,2048,2187,-1.832
9.817389726638794,2048,2185,-1.832
9.829351425170898,2048,2183,-1.832
9.841346263885498,2048,2182,-1.832
9.853395700454712,2048,2180,-1.832
9.865429162979126,2048,2179,-1.832
9.877390146255493,2048,2178,-1.603
9.889377355575562,2048,2176,-1.603
9.901349782943726,2048,2175,-1.603
9.913365364074707,2048,2173,-1.603
9.925766944885254,2048,2173,-1.603
9.937594652175903,2048,2170,-1.603
9.949632167816162,2048,2168,-1.832
9.961368322372437,2048,2167,-1.832
9.973680973052979,2048,2166,-1.832
9.988366842269897,2048,2163,-1.832
10.004409313201904,2048,2161,-1.832
10.01637887954712,2048,2159,-1.832
10.02902364730835,2048,2157,-1.832
10.040345191955566,2048,2156,-1.832
10.055395603179932,2048,2154,-1.603
10.067352056503296,2048,2152,-1.832
10.079355478286743,2048,2151,-1.832
10.098623514175415,2048,2149,-1.603
10.1103835105896,2048,2147,-1.603
10.122428894042969,2048,2146,-1.603
10.134369850158691,2048,2144,-1.603
10.151057720184326,2048,2142,-1.832
10.163437128067017,2048,2140,-1.832
10.176237344741821,2048,2137,-1.832
10.193152666091919,2048,2135,-1.832
10.208379983901978,2048,2133,-1.832
10.22037386894226,2048,2132,-1.832
10.235183238983154,2048,2130,-1.603
10.24732518196106,2048,2129,-1.603
10.266347885131836,2048,2127,-1.374
10.278422355651855,2048,2126,-1.603
10.29138445854187,2048,2124,-1.603
10.30959939956665,2048,2122,-1.603
10.321341276168823,2048,2120,-1.603
10.333349227905273,2048,2118,-1.832
10.358932495117188,2048,2115,-1.832
10.3703453540802,2048,2112,-1.832
10.383788108825684,2048,2111,-1.603
10.396204948425293,2048,2109,-1.832
10.413362741470337,2048,2107,-1.832
10.425432920455933,2048,2106,-1.603
10.439311742782593,2048,2104,-1.603
10.454803466796875,2048,2102,-1.832
10.468334197998047,2048,2100,-1.832
10.480974912643433,2048,2099,-1.603
10.49290657043457,2048,2097,-1.603
10.511338949203491,2048,2095,-1.603
10.52339220046997,2048,2094,-1.832
10.53565764427185,2048,2092,-1.832
10.55480670928955,2048,2090,-1.832
10.566332578659058,2048,2088,-1.832
10.578354358673096,2048,2086,-1.832
10.591306924819946,2048,2084,-1.603
10.603579044342041,2048,2082,-1.603
10.617283582687378,2048,2081,-1.603
10.629414796829224,2048,2078,-1.832
10.645310640335083,2048,2077,-1.832
10.663315057754517,2048,2075,-1.603
10.67539381980896,2048,2074,-1.603
10.689307451248169,2048,2072,-1.603
10.703294277191162,2048,2070,-1.603
10.718341588973999,2048,2069,-1.603
10.731781244277954,2048,2067,-1.374
10.7507803440094,2048,2066,-1.374
10.762327671051025,2048,2065,-1.374
10.774343490600586,2048,2064,-1.374
10.786291122436523,2048,2062,-1.145
10.798340559005737,2048,2062,-1.145
10.810563087463379,2048,2060,-0.916
10.822290897369385,2048,2059,-0.916
10.834305763244629,2048,2058,-0.916
10.84633755683899,2048,2057,-1.145
10.858304023742676,2048,2056,-1.145
10.870362281799316,2048,2055,-1.145
10.884385347366333,2048,2054,-0.916
10.899313926696777,2048,2054,-0.687
10.911300420761108,2048,2053,-0.687
10.923295974731445,2048,2052,-0.687
